Company ID (18 Char),Company Record Type,Company Name,Website,Website Redirect,Website Scrape
0013w00002S4GUMAA3,Prospect,Kamco Industries,https://www.kumi-na.com,https://www.kumi-na.com,
0018X000030gd9KQAQ,Prospect,C and W Networks,https://www.cwnetworks.com,https://libertynetworks.com/,
001d00000216dQzAAI,Prospect,Perpetuuiti Technosoft Services,https://www.ptechnosoft.com,Timeout Error,
0013w00002UHZVCAA5,Prospect,AGM Imports Granite and Marble,https://www.agmimports.com,https://agmimports.com/,
0018X00002xka7xQAA,Prospect,Longetivity Holdings,https://longevity.inc,https://longevity.inc,
0018X000037J7rxQAC,Prospect,Ram Board,https://www.ramboard.com,https://www.ramboard.com,
0018X000037JC0gQAG,Prospect,MacuHealth,https://www.macuhealth.com,https://www.macuhealth.com,
0018X000037JDisQAG,Prospect,ForaHealthyme,https://forahealthyme.com,Client Error,
0018X000030fVlVQAU,Prospect,Cloudsilicon,https://cloudsilicon.com,http://officemdr.com,
0013w00002S4GSkAAN,Prospect,United Pacific Forest Products,https://www.unitedpacificpallet.com,Timeout Error,
0018X000030giizQAA,Prospect,Breakthrough Energy,https://breakthroughenergy.org,https://breakthroughenergy.org,
001d000001wElC6AAK,Prospect,TRACE International,https://www.traceinternational.org,https://www.traceinternational.org,
0013w00002UHZOHAA5,Prospect,Reno and Cavanaugh,https://www.renocavanaugh.com,https://www.renocavanaugh.com,
0018X00002xkaBXQAY,Prospect,Blankfactor,https://blankfactor.com,https://blankfactor.com,
0018X000037J7tdQAC,Prospect,Pinta Elements,https://www.pinta-elements.com,https://www.pinta-elements.com,
0018X000037JCMEQA4,Prospect,Covalent Media Systems,http://www.covalentmediasystems.com,http://www.covalentmediasystems.com,
0018X000037JDitQAG,Prospect,Kelmscott Communications,https://www.kelmscott.com,Timeout Error,
0018X000030fVlUQAU,Prospect,Transcend Water,https://transcendinfra.com,https://transcendinfra.com,
0013w00002S4GSlAAN,Prospect,Edgewood Center for Children and Families,https://edgewood.org,https://edgewood.org,
0018X000030gij0QAA,Prospect,Traive,https://traivefinance.com,https://traivefinance.com,
001d000001wEwYVAA0,Prospect,BizXchange,https://www.bizx.com,https://www.bizx.com,
0013w00002UHZOIAA5,Prospect,ECM Solutions,https://ecmins.com,https://ecmins.com,
0018X00003IEzj2QAD,Prospect,"Envelop Risk Analytics, Ltd.",https://www.enveloprisk.com,https://www.enveloprisk.com,
0018X000037J7UmQAK,Prospect,Sensor Medical Technology,http://sensormedtech.com,http://sensormedtech.com,
0018X000037JCMFQA4,Prospect,NewGroup Media,https://www.newgroupmedia.com,Timeout Error,
0018X000037JDiuQAG,Prospect,Nelson Systems,https://www.nelsonsystems.com,https://www.nelsonsystems.com,
0018X000030fVlWQAU,Prospect,AdsRole,https://www.adsrole.com,https://www.adsrole.com,
0013w00002S4GW1AAN,Prospect,United States Equestrian Federation,https://www.usef.org,https://www.usef.org/errors/not-found?aspxerrorpath=/,
0018X000030gij1QAA,Prospect,Acadia,https://acadia.io,https://acadia.io,
001d000001zIOlBAAW,Prospect,EndoSoft,https://www.endosoft.com,https://www.endosoft.com,
0013w00002UHZOJAA5,Prospect,Pro-Tow 24 Hr Towing,https://www.pro-tow.com,https://www.pro-tow.com,
0018X00002wG9ouQAC,Prospect,Pexapark,https://pexapark.com,https://pexapark.com,
0018X000037J7UnQAK,Prospect,Shenzhen YeeFu Precison Machinery,https://www.yf-metal.com,Client Error,
0018X000037JCMGQA4,Prospect,Asignio,https://www.web.asignio.com,https://www.web.asignio.com,
0018X000037JDivQAG,Prospect,PrintGiant,https://www.printgiant.com,https://www.printgiant.com,
0018X000030fVmCQAU,Prospect,Ease,https://www.ease.co,https://www.ease.co,
0013w00002S4GW2AAN,Prospect,United States Senate Federal Credit Union,https://www.ussfcu.org,https://www.ussfcu.org,
0018X000030gij2QAA,Prospect,Sporter E-commerce,https://www.sporter.com,https://www.sporter.com/en-ae/,
001d000001xGPlQAAW,Prospect,Imagine Easy,http://www.imagineeasy.com,Client Error,
0013w00002UHZPOAA5,Prospect,Paramount Export,https://www.paramountexport.net,https://www.paramountexport.net,
0018X00002xkfxGQAQ,Prospect,BrightStar Wireless,https://brightstar.net,Client Error,
0018X000037J7UoQAK,Prospect,Fine Light,http://www.finelight.com,Client Error,
0018X000037JCMHQA4,Prospect,Blade Financial Services,http://www.bladefinancialservices.com,Timeout Error,
0018X000037JEo4QAG,Prospect,HWTrek,https://www.hwtrek.com,https://www.hwtrek.com,
0018X000030fVl7QAE,Prospect,Viewgol,https://www.viewgol.com,https://www.viewgol.com,
0013w00002S4GUUAA3,Prospect,La Montanita Food Cooperative,https://lamontanita.coop,https://lamontanita.coop,
0018X000030gij3QAA,Prospect,Path Environmental Technology,https://www.pathenviro.com,https://www.pathenviro.com,
001d000001xGUkWAAW,Sponsor / Lender / IB,Affinity Ventures,https://www.affinityventures.com,https://www.affinityventures.com,
0013w00002UHZPPAA5,Prospect,The Medtech Group,http://www.medtech-grp.com,Client Error,
0018X00002xkifVQAQ,Prospect,Verity,https://verityplatform.com,https://verityplatform.com,
0018X000037J7UpQAK,Prospect,RestorePoint,https://restorepoint.ai,https://restorepoint.ai,
0018X000037JCNzQAO,Prospect,Stonehill Strategic Capital,https://stonehillstrategiccapital.com,Timeout Error,
0018X000037JEo5QAG,Prospect,ProCare Therapy,https://www.procaretherapy.com,https://www.procaretherapy.com,
0018X000030fVl8QAE,Prospect,ASEG,https://www.aseg.com,Client Error,
0013w00002S4GUVAA3,Prospect,LeachGarner,https://www.leachgarner.com,https://www.leachgarner.com,
0018X000030gij4QAA,Prospect,Duvora,https://www.duvora.com,https://www.duvora.com,
001d000001xGW55AAG,Prospect,Altius Vendor Assessment,https://www.altiusva.com,https://www.altiusva.com,
0013w00002UHZPQAA5,Prospect,Cox Pools,https://coxpools.com,https://coxpools.com,
0018X00002xkfvGQAQ,Prospect,iNVATERRA,http://invaterra.com,http://invaterra.com,
0018X000037J7UqQAK,Prospect,Gnural Net,http://www.gnuralnet.com,http://www.gnuralnet.com,
0018X000037JCO0QAO,Prospect,Partnership for New York City,https://pfnyc.org,https://pfnyc.org,
0018X000037JEo6QAG,Prospect,"Acen,",http://www.e-acen.com,http://www.e-acen.com,
0018X000030fVlZQAU,Prospect,Precision Opinion,https://precisionopinion.com,https://precisionopinion.com,
0013w00002TmPZvAAN,Prospect,Approgence Technologies Inc,http://www.approgence.com,http://www.approgence.com,
0018X000030gccZQAQ,Prospect,Custom Microwave,https://custommicrowave.com,https://custommicrowave.com,
001d000002158K0AAI,Prospect,Tracewise,http://www.tracewise.com,Timeout Error,
0013w00002UHZPRAA5,Prospect,Bonnie Katz Design,https://bonniekatzdesign.com,https://bonniekatzdesign.com,
